,TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
8285,42716.25,12,12,2016,6,1.39598,166.02900000000002,20.8316,0.36006900000000003,1009.8,1.14297,26.5067,59.443999999999996,54.159,56.915
8286,42716.29,12,12,2016,7,1.1384,167.122,20.7058,0.35967899999999997,1010.31,3.96484,27.4633,69.518,60.317,64.815
8287,42716.33,12,12,2016,8,1.0804799999999999,164.592,21.2063,0.359896,1011.04,92.85700000000001,28.093000000000004,76.089,61.911,67.99600000000001
8288,42716.38,12,12,2016,9,0.68733,140.601,22.3844,0.362674,1011.69,171.649,28.7973,76.35300000000001,60.94,66.96300000000001
8289,42716.42,12,12,2016,10,1.77425,163.87,23.7749,0.361458,1012.24,287.039,29.3501,59.74,47.2228,51.725
8290,42716.46,12,12,2016,11,1.52941,181.08,24.5355,0.362674,1011.82,533.87,28.9972,54.382,44.424,48.2106
8291,42716.5,12,12,2016,12,2.13497,170.865,26.2346,0.367491,1010.71,640.56,28.6969,50.876000000000005,37.8942,41.9664
8292,42716.54,12,12,2016,13,2.65552,172.18,27.8378,0.365712,1009.18,621.08,29.0887,41.731,29.8027,32.781
8293,42716.58,12,12,2016,14,3.45263,160.165,29.6675,0.363281,1007.8,513.98,29.5138,40.2772,18.2251,21.7965
8294,42716.63,12,12,2016,15,3.7459300000000004,159.33700000000002,30.1291,0.36263,1007.2,387.23400000000004,29.8682,31.267,10.7558,13.7061
8295,42716.67,12,12,2016,16,3.91486,157.912,28.8795,0.359939,1006.9,175.21599999999998,29.8142,35.8373,15.0053,18.948
8296,42716.71,12,12,2016,17,3.94063,161.407,27.9527,0.36232600000000004,1007.15,39.166,29.6418,30.4055,17.7434,20.65
8297,42716.75,12,12,2016,18,3.3498,149.967,26.8933,0.361458,1007.67,1.07431,29.1543,35.2801,23.0493,26.7155
8298,42716.79,12,12,2016,19,3.42525,155.049,25.9694,0.366189,1008.55,1.1697,26.8413,31.0003,22.6467,25.1683
8299,42716.83,12,12,2016,20,3.72155,146.349,25.1214,0.358854,1009.36,1.1739600000000001,27.1577,33.5446,26.5254,29.0941
8300,42716.88,12,12,2016,21,3.48581,144.153,24.2888,0.359288,1010.2,1.16241,27.3195,35.829,29.7766,32.1259
8301,42716.92,12,12,2016,22,2.90813,143.231,23.8264,0.361849,1010.9,1.14297,27.4928,38.4035,29.8848,33.1217
8302,42716.96,12,12,2016,23,2.8056900000000002,142.91899999999998,23.5668,0.360373,1011.09,1.14236,27.6292,32.1682,26.9776,29.1729
8303,42717.0,12,13,2016,0,2.80563,139.249,23.6229,0.360243,1011.17,1.1144100000000001,27.494,25.395,21.2642,23.3217
8304,42717.04,12,13,2016,1,2.24632,135.77100000000002,23.6928,0.359288,1011.16,1.09436,27.0773,29.4614,23.4702,26.4588
8305,42717.08,12,13,2016,2,1.92318,97.301,23.6217,0.359288,1011.05,1.11137,26.9006,28.8583,24.4683,26.8783
8306,42717.13,12,13,2016,3,1.3252899999999999,103.583,23.5204,0.358333,1010.83,1.11806,26.8573,30.0698,24.7159,27.6984
8307,42717.17,12,13,2016,4,1.20844,121.685,23.1982,0.359288,1010.39,1.09132,26.8328,29.8013,24.9592,27.6737
8308,42717.21,12,13,2016,5,1.2055200000000001,114.073,23.1837,0.35907100000000003,1010.43,1.1454,26.7305,31.9184,25.7234,28.8711
8309,42717.25,12,13,2016,6,1.16536,130.013,23.3333,0.357682,1010.93,1.10104,27.1045,31.4956,24.9183,28.3012
8310,42717.29,12,13,2016,7,0.65396,133.306,23.4355,0.356597,1011.87,1.12474,28.7201,29.0508,21.1624,24.8972
8311,42717.33,12,13,2016,8,0.8839600000000001,135.748,23.480999999999998,0.359028,1012.78,32.9845,29.5834,31.4633,24.5817,27.9817
8312,42717.38,12,13,2016,9,0.9942799999999999,179.96400000000003,24.2871,0.362023,1013.59,113.26100000000001,29.1148,46.5444,30.5838,37.606
8313,42717.42,12,13,2016,10,1.16739,290.663,24.5815,0.3625,1013.89,217.38,28.7472,55.922,43.2785,48.2546
8314,42717.46,12,13,2016,11,1.03526,314.413,25.197,0.35954899999999995,1013.62,190.56599999999997,28.5134,55.973,44.6783,49.4664
8315,42717.5,12,13,2016,12,1.39457,293.784,25.9128,0.367491,1012.67,531.97,28.7302,48.1599,40.1573,43.3583
8316,42717.54,12,13,2016,13,1.81922,292.469,26.7934,0.364757,1011.2,596.45,29.4204,30.9883,26.7536,28.6761
8317,42717.58,12,13,2016,14,1.2966,297.969,28.7793,0.362847,1010.08,492.426,29.5367,31.5746,22.7109,24.8617
8318,42717.63,12,13,2016,15,0.62785,252.175,29.1212,0.36093800000000004,1009.39,250.74200000000002,29.6333,29.8667,22.7134,25.0366
8319,42717.67,12,13,2016,16,2.06458,148.374,28.4958,0.361111,1009.36,110.65799999999999,29.4609,35.5392,22.8142,26.2617
8320,42717.71,12,13,2016,17,3.05451,145.865,27.0393,0.359722,1009.86,32.4303,29.6294,27.3042,17.735,20.5117
8321,42717.75,12,13,2016,18,2.25778,142.326,25.9154,0.364062,1010.29,1.1296,29.0319,26.3661,17.2403,20.3758
8322,42717.79,12,13,2016,19,1.75456,150.453,25.4104,0.358898,1010.96,1.14905,27.0632,33.1767,22.7068,26.2241
8323,42717.83,12,13,2016,20,1.51485,163.537,25.0842,0.357205,1011.81,1.1308200000000002,27.2042,36.9903,25.910999999999998,29.5581
8324,42717.88,12,13,2016,21,1.39888,168.326,24.5622,0.358377,1012.48,1.1217,27.3566,48.8112,31.7685,38.3908
8325,42717.92,12,13,2016,22,1.9477,165.824,24.2769,0.36245700000000003,1013.01,1.14297,27.5449,41.2589,31.0545,34.5049
8326,42717.96,12,13,2016,23,1.12471,160.313,24.1814,0.360677,1013.51,1.1326399999999999,27.4445,39.9131,29.2838,33.1422
8327,42718.0,12,14,2016,0,1.04151,148.041,24.0783,0.358594,1013.65,1.09497,27.2694,36.5501,26.4869,30.5558
8328,42718.04,12,14,2016,1,0.9291,156.22799999999998,23.8116,0.358247,1013.89,1.10469,26.9466,34.2935,26.4029,29.5101
8329,42718.08,12,14,2016,2,0.67561,98.20700000000001,23.721999999999998,0.360373,1013.78,1.05972,26.93,33.9179,26.1195,29.1015
8330,42718.13,12,14,2016,3,0.8033100000000001,58.773,23.6012,0.357986,1013.63,1.08038,26.9034,37.4146,30.3924,33.093
8331,42718.17,12,14,2016,4,0.96699,52.783,22.8672,0.35920100000000005,1013.55,1.0737,26.8275,41.0235,38.7031,39.8147
8332,42718.21,12,14,2016,5,0.81105,51.138000000000005,22.2288,0.36137199999999997,1013.89,1.09861,26.6749,37.1653,34.4464,35.7861
8333,42718.25,12,14,2016,6,1.18438,58.052,21.8475,0.362717,1014.56,1.0974,26.7974,33.9658,30.5002,31.8876
8334,42718.29,12,14,2016,7,1.25156,56.031000000000006,21.5835,0.360156,1015.24,1.09618,27.8154,36.0589,31.4066,33.0949
8335,42718.33,12,14,2016,8,1.11609,50.733999999999995,21.4993,0.35868099999999997,1015.97,40.5265,28.5045,37.5372,32.2791,33.7574
8336,42718.38,12,14,2016,9,1.0746799999999999,53.632,21.6559,0.361068,1017.06,60.312,28.9685,38.411,32.0238,34.2021
8337,42718.42,12,14,2016,10,1.1251,40.5062,21.6766,0.362977,1017.58,79.572,29.3923,38.6068,31.9951,33.8563
8338,42718.46,12,14,2016,11,0.8887299999999999,51.941,21.9091,0.362977,1017.56,85.584,29.6397,35.338,29.2098,30.9239
8339,42718.5,12,14,2016,12,0.81476,45.9591,22.1437,0.36128499999999997,1016.75,86.001,29.4452,33.779,27.6379,29.338
8340,42718.54,12,14,2016,13,1.10858,39.8605,22.7355,0.360156,1015.56,278.443,29.1581,31.0206,25.5978,27.1002
8341,42718.58,12,14,2016,14,1.01194,52.52,23.3161,0.361068,1014.83,251.674,29.2697,26.7447,21.3351,23.180999999999997
8342,42718.63,12,14,2016,15,1.19233,55.452,23.174,0.359288,1014.52,167.13299999999998,29.2253,26.1619,21.4261,22.8639
8343,42718.67,12,14,2016,16,1.6974200000000002,59.766000000000005,22.888,0.358941,1014.66,60.788999999999994,29.1527,27.6645,22.5863,24.1789
8344,42718.71,12,14,2016,17,1.58372,61.07899999999999,22.3084,0.361762,1015.05,9.6147,29.0697,34.5508,27.5332,29.455
8345,42718.75,12,14,2016,18,1.55189,62.926,21.8148,0.360113,1016.41,1.07674,27.8146,38.5649,31.1189,33.2166
8346,42718.79,12,14,2016,19,1.90252,59.131,21.2047,0.35772600000000004,1016.85,1.07552,28.0487,36.3649,30.2692,31.866999999999997
8347,42718.83,12,14,2016,20,1.21058,55.503,20.7138,0.359939,1017.81,1.07431,28.4882,34.4707,29.8601,31.2053
8348,42718.88,12,14,2016,21,1.16011,57.931999999999995,20.2685,0.36137199999999997,1018.31,1.07005,28.5094,36.8374,33.7982,34.8682
